sample_barcode	sample_id
TARGET-40-PAPFLB-01A-01R	SRR1811124
TARGET-40-PANGPE-01A-01R	SRR1811125
TARGET-40-PANGPE-01A-01R	SRR1811126
TARGET-40-PAPFLB-01A-01R	SRR1811127
TARGET-40-PASNZV-01A-01R	SRR1811128
TARGET-40-PATMPU-01A-01R	SRR1811129
TARGET-40-PATMXR-01A-01R	SRR1811130
TARGET-40-PATPBS-01A-01R	SRR1811131
TARGET-40-PATUXZ-01A-01R	SRR1811132
TARGET-40-0A4I8U-01A-01R	SRR1811133
TARGET-40-0A4I4M-01A-01R	SRR1811134
TARGET-40-0A4I48-01A-01R	SRR1811135
TARGET-40-0A4I65-01A-01R	SRR1811136
TARGET-40-0A4I0W-01A-01R	SRR1811137
TARGET-40-0A4I42-01A-01R	SRR1811138
TARGET-40-0A4I3S-01A-01R	SRR1811139
TARGET-40-0A4HX8-01A-01R	SRR1811140
TARGET-40-0A4HLD-01A-01R	SRR1811141
TARGET-40-PATJVI-01A-01R	SRR1811142
TARGET-40-PASYUK-01A-01R	SRR1811143
TARGET-40-PASRNE-01A-01R	SRR1811144
TARGET-40-PANVJJ-01A-01R	SRR1811145
TARGET-40-PAMRHD-01A-01R	SRR1811146
TARGET-40-PAMLKS-01A-01R	SRR1811147
TARGET-40-0A4I6O-01A-01R	SRR1811148
TARGET-40-0A4I0Q-01A-01R	SRR1811149
TARGET-40-0A4HXS-01A-01R	SRR1811150
TARGET-40-PATMIF-01A-01R	SRR1811151
TARGET-40-PAPIJR-01A-01R	SRR1811152
TARGET-40-0A4I4E-01A-01R	SRR1811153
TARGET-40-0A4I9K-01A-01R	SRR1811154
TARGET-40-0A4I5B-01A-01R	SRR1811155
TARGET-40-0A4I4O-01A-01R	SRR1811157
TARGET-40-0A4HY5-01A-01R	SRR1811158
TARGET-40-0A4HMC-01A-01R	SRR1811159
TARGET-40-0A4I3S-01A-01R	SRR1811160
TARGET-40-0A4I0W-01A-01R	SRR1811161
TARGET-40-0A4I0Q-01A-01R	SRR1811163
TARGET-40-0A4I3S-01A-01R	SRR1811164
TARGET-40-0A4I0W-01A-01R	SRR1811165
TARGET-40-0A4I0Q-01A-01R	SRR1811166
TARGET-40-0A4I8U-01A-01R	SRR1811168
TARGET-40-0A4I8U-01A-01R	SRR1811169
TARGET-40-0A4I42-01A-01R	SRR1811170
TARGET-40-0A4I42-01A-01R	SRR1811171
TARGET-40-PAVALD-01A-01R	SRR1811172
TARGET-40-PAUYTT-01A-01R	SRR1811173
TARGET-40-PAUVUL-01A-01R	SRR1811174
TARGET-40-PAVCLP-01A-01R	SRR1811175
TARGET-40-PAUBIT-01A-01R	SRR1811176
TARGET-40-PAVCLP-01A-01R	SRR1811177
TARGET-40-PAUBIT-01A-01R	SRR1811178
TARGET-40-0A4I42-01A-01R	SRR1811179
TARGET-40-PAVCLP-01A-01R	SRR1811180
TARGET-40-PAUBIT-01A-01R	SRR1811181
TARGET-40-0A4I42-01A-01R	SRR1811182
TARGET-40-0A4I8U-01A-01R	SRR1811183
TARGET-40-0A4I42-01A-01R	SRR1811184
TARGET-40-0A4HLD-01A-01R	SRR1811185
TARGET-40-PAKUZU-01A-01R	SRR1811186
TARGET-40-PAPNVD-01A-01R	SRR1811187
TARGET-40-PAVECB-01A-01R	SRR1811188
TARGET-40-PAUBIT-01A-01R	SRR1811189
TARGET-40-PAVDTY-01A-01R	SRR1811190
TARGET-40-PAVALD-01A-01R	SRR1811191
TARGET-40-PAUYTT-01A-01R	SRR1811192
