sample	caller
BS_BZW66BK2	freec
BS_BZW66BK2	manta
BS_C12CV8CF	freec
BS_C12CV8CF	manta
BS_C2FYP4KW	cnvkit
BS_C2FYP4KW	manta
BS_C3KT9THS	cnvkit
BS_C3KT9THS	freec
BS_C6QTRJ00	freec
BS_C6QTRJ00	manta
BS_C8T56CWR	cnvkit
BS_C8T56CWR	freec
BS_C8TXNSY3	freec
BS_C8TXNSY3	manta
BS_C9YD10Y4	cnvkit
BS_C9YD10Y4	manta
BS_CASJWEZE	freec
BS_CASJWEZE	manta
BS_CAXD5ZG6	freec
BS_CAXD5ZG6	manta
BS_CBSFB498	freec
BS_CBSFB498	manta
BS_CC0HQAZ9	freec
BS_CC0HQAZ9	manta
BS_CD6KRB1K	cnvkit
BS_CD6KRB1K	manta
BS_CDVYZ020	freec
BS_CDVYZ020	manta
BS_CEXX4K9B	cnvkit
BS_CEXX4K9B	freec
BS_CEXX4K9B	manta
BS_CG9KDK95	cnvkit
BS_CGCNC41M	cnvkit
BS_CGGJZ5Q1	cnvkit
BS_CGGJZ5Q1	freec
BS_CGGJZ5Q1	manta
BS_CH0ZV29W	cnvkit
BS_CH0ZV29W	manta
BS_CJ0E9FNC	freec
BS_CJ0E9FNC	manta
BS_CKVK1AYV	cnvkit
BS_CKVK1AYV	freec
BS_CKVSHYT9	freec
BS_CKVSHYT9	manta
BS_CP8741SX	cnvkit
BS_CPGZYTHM	cnvkit
BS_CPGZYTHM	freec
BS_CPVAENZW	cnvkit
BS_CPVAENZW	freec
BS_CPVAENZW	manta
BS_CPYV7AHD	freec
BS_CQ40NN4X	cnvkit
BS_CQ40NN4X	manta
BS_CQC29CK5	cnvkit
BS_CQC29CK5	manta
BS_CWPHVM94	cnvkit
BS_CXCKHP3Z	freec
BS_CXCZEZCS	freec
BS_CXCZEZCS	manta
BS_D09VWF8H	cnvkit
BS_D0VGGE9Y	freec
BS_D0VGGE9Y	manta
BS_D3N3FG7Y	cnvkit
BS_D5VCY8WQ	freec
BS_D5VCY8WQ	manta
BS_D6STCMQS	cnvkit
BS_D7442ACV	cnvkit
BS_D7442ACV	manta
BS_D8H43Q28	cnvkit
BS_D8H43Q28	freec
BS_D8H43Q28	manta
BS_D99MYDP7	freec
BS_D99MYDP7	manta
BS_D9BP1QN2	cnvkit
BS_D9BP1QN2	manta
BS_DAX3YVG0	cnvkit
BS_DAX3YVG0	freec
BS_DAX3YVG0	manta
BS_DB1R553P	freec
BS_DB1R553P	manta
BS_DBV7S78S	freec
BS_DBV7S78S	manta
BS_DFJYRYV1	cnvkit
BS_DGV11G69	cnvkit
BS_DGV11G69	manta
BS_DHC9SHF6	cnvkit
BS_DHC9SHF6	manta
BS_DK4EQQ3J	freec
BS_DK4EQQ3J	manta
BS_DMBG5TE8	freec
BS_DMBG5TE8	manta
BS_DMBNB0EP	cnvkit
BS_DQ5RVSH4	freec
BS_DQ5RVSH4	manta
BS_DRN0PZ3H	cnvkit
BS_DRN0PZ3H	freec
BS_DRN0PZ3H	manta
BS_DVDT4VXQ	cnvkit
BS_DWYR5CTE	cnvkit
BS_DWYR5CTE	manta
BS_DZ998H9P	cnvkit
BS_E0174C23	freec
BS_E0174C23	manta
BS_E2EXBFN7	cnvkit
BS_E2EXBFN7	manta
BS_E4N511ZX	cnvkit
BS_E4N511ZX	freec
BS_E4N511ZX	manta
BS_E4V8XN3G	cnvkit
BS_E4V8XN3G	manta
BS_E5H6CFYT	freec
BS_E7CRT00M	cnvkit
BS_E7W5SHNY	freec
BS_E7W5SHNY	manta
BS_E88G2GGG	freec
BS_E88G2GGG	manta
BS_E8SJ36A6	cnvkit
BS_E9QPR0QG	freec
BS_E9QPR0QG	manta
BS_E9YW2KHS	cnvkit
BS_E9YW2KHS	freec
BS_E9YW2KHS	manta
BS_EBBJ0AFX	freec
BS_EBBJ0AFX	manta
BS_EDGSP4V6	cnvkit
BS_EDGSP4V6	freec
BS_EE2YW499	cnvkit
BS_EE2YW499	freec
BS_EE2YW499	manta
BS_EE73VE7V	cnvkit
BS_EERGD92W	freec
BS_EERGD92W	manta
BS_EFBBP9H3	cnvkit
BS_EG75B8PP	freec
BS_EG75B8PP	manta
BS_EGT2QA6B	cnvkit
BS_EGT2QA6B	freec
BS_EGT2QA6B	manta
BS_EHBQTTN9	freec
BS_EHBQTTN9	manta
BS_EJVZKNNR	freec
BS_EJVZKNNR	manta
BS_EMSTCCGC	freec
BS_EMSTCCGC	manta
BS_EQE447QB	cnvkit
BS_EQE447QB	manta
BS_ER4N48J3	freec
BS_ER4N48J3	manta
BS_ER6ZP72Y	freec
BS_ER6ZP72Y	manta
BS_ERAWW3H7	cnvkit
BS_ERMGD2N5	cnvkit
BS_ERMGD2N5	freec
BS_EWNSDJ7V	cnvkit
BS_EWNSDJ7V	manta
BS_EXDY4JFF	cnvkit
BS_F0MRP82D	freec
BS_F0MRP82D	manta
BS_F0QMZF54	freec
BS_F0QMZF54	manta
BS_F3ZZ4BXE	cnvkit
BS_F5KRHGKC	cnvkit
BS_F6MNG2S0	cnvkit
BS_F6MNG2S0	freec
BS_F92J3KBA	cnvkit
BS_FAEHNS3Q	cnvkit
BS_FAX0J8SY	freec
BS_FAX0J8SY	manta
BS_FCP8V8F4	freec
BS_FCP8V8F4	manta
BS_FF73TT6D	freec
BS_FG649AWK	cnvkit
BS_FJ10FKM8	freec
BS_FJ10FKM8	manta
BS_FJEZ3ASV	freec
BS_FJP95JXF	cnvkit
BS_FJP95JXF	manta
BS_FK3DPAWA	cnvkit
BS_FK3DPAWA	manta
BS_FR9R7VFY	cnvkit
BS_FR9R7VFY	manta
BS_FSK0S8YJ	freec
BS_FSK0S8YJ	manta
BS_FSKBH2QE	freec
BS_FSKBH2QE	manta
BS_FSNCPJJF	cnvkit
BS_FSNCPJJF	freec
BS_FSNCPJJF	manta
BS_FV0C303D	cnvkit
BS_FV0C303D	freec
BS_FVYBGMG1	cnvkit
BS_FXG6F3NN	cnvkit
BS_FXG6F3NN	freec
BS_FYJMNRGK	freec
BS_G4EX0H98	freec
BS_G4W213NW	cnvkit
BS_G4W213NW	manta
BS_G67DMFPY	freec
BS_G67DMFPY	manta
BS_G6ASNYWP	cnvkit
BS_G6ASNYWP	manta
BS_G8JVX0Y6	cnvkit
BS_G8JVX0Y6	freec
BS_G8JVX0Y6	manta
BS_GAA781GQ	cnvkit
BS_GAA781GQ	manta
BS_GBFJT6B8	freec
BS_GBFJT6B8	manta
BS_GBS4JMAZ	cnvkit
BS_GBS4JMAZ	freec
BS_GCX9P9WW	freec
BS_GCX9P9WW	manta
BS_GFN4FETJ	cnvkit
BS_GFN4FETJ	freec
BS_GFN4FETJ	manta
BS_GHGZR508	cnvkit
BS_GHGZR508	freec
BS_GHGZR508	manta
BS_GJ6V6AFB	freec
BS_GJ6V6AFB	manta
BS_GJ7DEJ6A	freec
BS_GJ7DEJ6A	manta
BS_GJTA6W7D	freec
BS_GJTA6W7D	manta
BS_GN48HWW8	freec
BS_GN48HWW8	manta
BS_GNETMRJF	cnvkit
BS_GNETMRJF	freec
BS_GPNWSW71	cnvkit
BS_GPXZ2NQB	cnvkit
BS_GRJ3CN0E	freec
BS_GRJ3CN0E	manta
BS_GS9JCK55	freec
BS_GSP3VZ42	freec
BS_GSP3VZ42	manta
BS_GXACEYKB	freec
BS_GZ39V8AK	cnvkit
BS_GZ39V8AK	freec
BS_GZ39V8AK	manta
BS_GZG7GH62	cnvkit
BS_H0MVFRCE	cnvkit
BS_H0MVFRCE	freec
BS_H0MVFRCE	manta
BS_H18ZNTNR	cnvkit
BS_H18ZNTNR	freec
BS_H18ZNTNR	manta
BS_H2VM49X1	freec
BS_H2VM49X1	manta
BS_H3TFMS12	freec
BS_H3TFMS12	manta
BS_H50HR85Y	freec
BS_H5GG77KB	freec
BS_H5GG77KB	manta
BS_H68W3CE8	cnvkit
BS_H68W3CE8	manta
BS_H7T26DMD	cnvkit
BS_H7T26DMD	freec
BS_H8RFBM07	freec
BS_H8RFBM07	manta
BS_H915DJY3	cnvkit
BS_HBAKYKQM	freec
BS_HC01D8JV	freec
BS_HC01D8JV	manta
BS_HCWEF4QN	cnvkit
BS_HCWEF4QN	manta
BS_HE9SGQRY	freec
BS_HE9SGQRY	manta
BS_HEP8QTNN	cnvkit
BS_HG862RR7	freec
BS_HG862RR7	manta
BS_HGNSF36D	freec
BS_HGNSF36D	manta
BS_HN8DE43A	cnvkit
BS_HPFXMMKF	freec
BS_HPFXMMKF	manta
BS_HQC1EKZ8	cnvkit
BS_HQC1EKZ8	freec
BS_HQC1EKZ8	manta
BS_HQNBAC1K	freec
BS_HQNBAC1K	manta
BS_HQYHVPC9	cnvkit
BS_HQYHVPC9	freec
BS_HSEZQGA0	freec
BS_HSEZQGA0	manta
BS_HTGDSPQA	freec
BS_HW4MYBZ2	cnvkit
BS_HW4MYBZ2	manta
BS_HXFX1HGG	freec
BS_HXFX1HGG	manta
BS_HXKC8MTV	freec
BS_HXKC8MTV	manta
BS_HYGK88B0	manta
BS_HYKV2TH9	cnvkit
BS_HYX0M8VM	cnvkit
BS_HYX0M8VM	freec
BS_HZKJMB0D	cnvkit
BS_HZKJMB0D	manta
BS_J1ETVA6N	freec
BS_J1ETVA6N	manta
BS_J2DA5W77	cnvkit
BS_J3448NCS	freec
BS_J3448NCS	manta
BS_J36GR09E	freec
BS_J36GR09E	manta
BS_J3707KE2	cnvkit
BS_J3707KE2	freec
BS_J5C6FMYZ	cnvkit
BS_J5C6FMYZ	manta
BS_J6FPW4H0	cnvkit
BS_J6FPW4H0	freec
BS_J6FPW4H0	manta
BS_J77SSWMK	freec
BS_J77SSWMK	manta
BS_J8EH1N7V	cnvkit
BS_J8EH1N7V	freec
BS_J8EK6RNF	freec
BS_J8YAY1HM	cnvkit
BS_J8YAY1HM	manta
BS_JBKJSXQJ	cnvkit
BS_JBKJSXQJ	freec
BS_JBKJSXQJ	manta
BS_JC8YV5V9	cnvkit
BS_JC8YV5V9	freec
BS_JDNQ618V	freec
BS_JDNQ618V	manta
BS_JGKRN7NA	cnvkit
BS_JGVTE14P	cnvkit
BS_JGVTE14P	freec
BS_JM979K1M	freec
BS_JN793TMZ	freec
BS_JN793TMZ	manta
BS_JQ0XD1K9	cnvkit
BS_JQ0XD1K9	freec
BS_JQNF0FQP	cnvkit
BS_JR18MP1K	freec
BS_JR18MP1K	manta
BS_JRCYAWQM	freec
BS_JRCYAWQM	manta
BS_JRXWDYRY	freec
BS_JRXWDYRY	manta
BS_JTP91S1A	cnvkit
BS_JTP91S1A	freec
BS_JTP91S1A	manta
BS_JV1GTZ1Q	cnvkit
BS_JXCHEAM6	freec
BS_JXCHEAM6	manta
BS_JXVVZ2S8	cnvkit
BS_JY9MY41C	freec
BS_JY9MY41C	manta
BS_JYX7TE5C	freec
BS_JYX7TE5C	manta
BS_JZFMHGNX	cnvkit
BS_JZFMHGNX	manta
BS_JZVRWQ09	freec
BS_JZVRWQ09	manta
